Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4,utc_time,local_time
2025-01-16 20:26:08.153275,0.999,False,0.0,0.0,0.0,0.0,2025-01-16 20:32:28.593667,2025-01-16 15:32:28.593667
2025-01-16 20:26:08.153275,0.999,True,1.043181,1.078091,1.11252,1.104257,2025-01-16 20:32:28.593667,2025-01-16 15:32:28.593667
2025-01-16 20:26:09.152775,1.999,False,0.282038,6.9e-05,0.0,0.0,2025-01-16 20:32:29.593167,2025-01-16 15:32:29.593167
2025-01-16 20:26:09.152800,1.999,True,1.042699,1.077747,1.111762,1.103844,2025-01-16 20:32:29.593192,2025-01-16 15:32:29.593192
2025-01-16 20:26:10.152750,2.999,False,0.564075,6.9e-05,0.0,0.0,2025-01-16 20:32:30.593142,2025-01-16 15:32:30.593142
2025-01-16 20:26:10.152775,2.999,True,1.04263,1.077265,1.111487,1.103568,2025-01-16 20:32:30.593167,2025-01-16 15:32:30.593167
2025-01-16 20:26:11.152700,3.999,False,0.846112,6.9e-05,0.0,0.0,2025-01-16 20:32:31.593092,2025-01-16 15:32:31.593092
2025-01-16 20:26:11.152700,3.999,True,1.042423,1.077058,1.111487,1.103293,2025-01-16 20:32:31.593092,2025-01-16 15:32:31.593092
2025-01-16 20:26:12.152700,4.999,False,1.12815,6.9e-05,0.0,0.0,2025-01-16 20:32:32.593092,2025-01-16 15:32:32.593092
2025-01-16 20:26:12.152725,4.999,True,1.04201,1.077058,1.111418,1.103224,2025-01-16 20:32:32.593117,2025-01-16 15:32:32.593117
2025-01-16 20:26:13.152800,5.999,False,1.410188,6.9e-05,0.0,0.0,2025-01-16 20:32:33.593192,2025-01-16 15:32:33.593192
2025-01-16 20:26:13.152850,5.999,True,1.042148,1.076989,1.111005,1.103224,2025-01-16 20:32:33.593242,2025-01-16 15:32:33.593242
2025-01-16 20:26:14.152750,6.999,False,1.692225,6.9e-05,0.0,0.0,2025-01-16 20:32:34.593142,2025-01-16 15:32:34.593142
2025-01-16 20:26:14.152775,6.999,True,1.041804,1.076921,1.111005,1.10288,2025-01-16 20:32:34.593167,2025-01-16 15:32:34.593167
2025-01-16 20:26:15.152700,7.999,False,1.974262,6.9e-05,0.0,0.0,2025-01-16 20:32:35.593092,2025-01-16 15:32:35.593092
2025-01-16 20:26:15.152725,7.999,True,1.041666,1.076783,1.111005,1.102811,2025-01-16 20:32:35.593117,2025-01-16 15:32:35.593117
2025-01-16 20:26:16.152725,8.999,False,2.2563,6.9e-05,0.0,0.0,2025-01-16 20:32:36.593117,2025-01-16 15:32:36.593117
2025-01-16 20:26:16.152750,8.999,True,1.041666,1.076783,1.110867,1.102535,2025-01-16 20:32:36.593142,2025-01-16 15:32:36.593142
2025-01-16 20:26:17.152725,9.999,False,2.538338,6.9e-05,0.0,0.0,2025-01-16 20:32:37.593117,2025-01-16 15:32:37.593117
2025-01-16 20:26:17.152750,9.999,True,1.041735,1.076645,1.110798,1.102673,2025-01-16 20:32:37.593142,2025-01-16 15:32:37.593142
2025-01-16 20:26:18.148975,10.999,False,2.820375,6.9e-05,0.0,0.0,2025-01-16 20:32:38.589367,2025-01-16 15:32:38.589367
2025-01-16 20:26:18.148975,10.999,True,1.041322,1.076576,1.110729,1.102535,2025-01-16 20:32:38.589367,2025-01-16 15:32:38.589367
2025-01-16 20:26:19.149025,11.999,False,3.102412,6.9e-05,0.0,0.0,2025-01-16 20:32:39.589417,2025-01-16 15:32:39.589417
2025-01-16 20:26:19.149025,11.999,True,1.04139,1.076439,1.11066,1.102466,2025-01-16 20:32:39.589417,2025-01-16 15:32:39.589417
2025-01-16 20:26:20.148900,12.999,False,0.210702,6.9e-05,0.0,0.0,2025-01-16 20:32:40.589292,2025-01-16 15:32:40.589292
2025-01-16 20:26:20.148925,12.999,True,1.04139,1.076301,1.110523,1.102398,2025-01-16 20:32:40.589317,2025-01-16 15:32:40.589317
2025-01-16 20:26:21.149050,13.999,False,0.290713,6.9e-05,0.0,0.0,2025-01-16 20:32:41.589442,2025-01-16 15:32:41.589442
