Date,TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused1,Unused2,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostEvntCount
2025-01-18 17:08:06.060350,300.999,0.0,65.33482910156252,,,,,,,,,,,,,,,,1.0,0.0,0.0
2025-01-18 17:08:07.059300,301.999,1.0,65.33482910156252,-267.27111328125,,,,,,,,,,,,,,,1.0,0.0,0.0
2025-01-18 17:08:08.058725,302.999,2.0,65.33482910156252,-267.27111328125,35.03783203125002,,,,,,,,,,,,,,1.0,0.0,0.0
2025-01-18 17:08:09.058875,303.999,3.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,,,,,,,,,,,,,1.0,0.0,0.0
2025-01-18 17:08:10.059275,304.999,4.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.63449707031249,,,,,,,,,,,,1.0,0.0,0.0
2025-01-18 17:08:11.058775,305.999,5.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.63449707031249,0.155340966796875,,,,,,,,,,,1.0,0.0,0.0
2025-01-18 17:08:12.058750,306.999,6.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.63449707031249,0.155340966796875,48.40192300781677,,,,,,,,,,1.0,0.0,0.0
2025-01-18 17:08:13.060200,307.999,7.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.63449707031249,0.155340966796875,48.40192300781677,0.0044068359375,,,,,,,,,1.0,0.0,0.0
2025-01-18 17:08:14.058875,308.999,8.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.63449707031249,0.155340966796875,48.40192300781677,0.0044068359375,46.59727738294314,,,,,,,,1.0,0.0,0.0
2025-01-18 17:08:15.059150,309.999,9.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.63449707031249,0.155340966796875,48.40192300781677,0.0044068359375,46.59727738294314,0.0,,,,,,,1.0,0.0,0.0
2025-01-18 17:08:16.059375,310.999,10.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.63449707031249,0.155340966796875,48.40192300781677,0.0044068359375,46.59727738294314,0.0,0.0,,,,,,1.0,0.0,0.0
2025-01-18 17:08:17.059425,311.999,11.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.63449707031249,0.155340966796875,48.40192300781677,0.0044068359375,46.59727738294314,0.0,0.0,0.0,,,,,1.0,0.0,0.0
2025-01-18 17:08:18.058775,312.999,0.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.63449707031249,0.155340966796875,48.40192300781677,0.0044068359375,46.59727738294314,0.0,0.0,0.0,,,,,1.0,0.0,0.0
2025-01-18 17:08:19.059575,313.999,1.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.63449707031249,0.155340966796875,48.40192300781677,0.0044068359375,46.59727738294314,0.0,0.0,0.0,,,,,1.0,0.0,0.0
2025-01-18 17:08:20.059150,314.999,2.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.63449707031249,0.155340966796875,48.40192300781677,0.0044068359375,46.59727738294314,0.0,0.0,0.0,,,,,1.0,0.0,0.0
2025-01-18 17:08:21.058825,315.999,3.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.63449707031249,0.155340966796875,48.40192300781677,0.0044068359375,46.59727738294314,0.0,0.0,0.0,,,,,1.0,0.0,0.0
2025-01-18 17:08:22.059300,316.999,4.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.818115234375,0.155340966796875,48.40192300781677,0.0044068359375,46.59727738294314,0.0,0.0,0.0,,,,,1.0,0.0,0.0
2025-01-18 17:08:23.059150,317.999,5.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.818115234375,0.1542392578125,48.40192300781677,0.0044068359375,46.59727738294314,0.0,0.0,0.0,,,,,1.0,0.0,0.0
2025-01-18 17:08:24.058975,318.999,6.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.818115234375,0.1542392578125,48.28126711203592,0.0044068359375,46.59727738294314,0.0,0.0,0.0,,,,,1.0,0.0,0.0
2025-01-18 17:08:25.058725,319.999,7.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.818115234375,0.1542392578125,48.28126711203592,0.0044068359375,46.59727738294314,0.0,0.0,0.0,,,,,1.0,0.0,0.0
2025-01-18 17:08:26.059900,320.999,8.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.818115234375,0.1542392578125,48.28126711203592,0.0044068359375,42.42134589255852,0.0,0.0,0.0,,,,,1.0,0.0,0.0
2025-01-18 17:08:27.058850,321.999,9.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.818115234375,0.1542392578125,48.28126711203592,0.0044068359375,42.42134589255852,0.0,0.0,0.0,,,,,1.0,0.0,0.0
2025-01-18 17:08:28.058950,322.999,10.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.818115234375,0.1542392578125,48.28126711203592,0.0044068359375,42.42134589255852,0.0,0.0,0.0,,,,,1.0,0.0,0.0
2025-01-18 17:08:29.058875,323.999,11.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.818115234375,0.1542392578125,48.28126711203592,0.0044068359375,42.42134589255852,0.0,0.0,0.0,,,,,1.0,0.0,0.0
2025-01-18 17:08:30.058800,324.999,0.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.818115234375,0.1542392578125,48.28126711203592,0.0044068359375,42.42134589255852,0.0,0.0,0.0,,,,,1.0,0.0,0.0
2025-01-18 17:08:31.059150,325.999,1.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.818115234375,0.1542392578125,48.28126711203592,0.0044068359375,42.42134589255852,0.0,0.0,0.0,,,,,1.0,0.0,0.0
2025-01-18 17:08:32.058700,326.999,2.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.818115234375,0.1542392578125,48.28126711203592,0.0044068359375,42.42134589255852,0.0,0.0,0.0,,,,,1.0,0.0,0.0
2025-01-18 17:08:33.058775,327.999,3.0,65.33482910156252,-267.27111328125,35.03783203125002,32.72424316406251,61.818115234375,0.1542392578125,48.28126711203592,0.0044068359375,42.42134589255852,0.0,0.0,0.0,,,,,1.0,0.0,0.0
